date,open,high,low,close
2023-08-18,7.2712,7.2953,7.2643,7.2855
2023-08-17,7.308,7.3177,7.275,7.2888
2023-08-16,7.292,7.299,7.2883,7.2981
2023-08-15,7.2793,7.2899,7.2657,7.2899
2023-08-14,7.2531,7.2659,7.237,7.258
2023-08-11,7.2249,7.2401,7.2213,7.2388
2023-08-10,7.2047,7.2201,7.2013,7.2177
2023-08-09,7.2123,7.2151,7.1945,7.2114
2023-08-08,7.2016,7.2225,7.2016,7.2199
2023-08-07,7.1915,7.1947,7.1828,7.1942
2023-08-04,7.155,7.1875,7.154,7.174
2023-08-03,7.1888,7.1952,7.1636,7.1716
2023-08-02,7.1663,7.1979,7.1652,7.192
2023-08-01,7.1615,7.1795,7.159,7.177
2023-07-31,7.1361,7.1535,7.1345,7.1435
2023-07-28,7.1638,7.174,7.1438,7.1497
2023-07-27,7.1348,7.1755,7.1196,7.17
2023-07-26,7.1495,7.162,7.1371,7.1371
2023-07-25,7.1511,7.163,7.1311,7.1387
2023-07-24,7.1855,7.2075,7.1805,7.186
2023-07-21,7.1644,7.1915,7.1616,7.1882
2023-07-20,7.1862,7.1894,7.1644,7.1777
2023-07-19,7.1911,7.2279,7.1911,7.224
2023-07-18,7.1633,7.1876,7.1607,7.1876
2023-07-17,7.148,7.1777,7.148,7.174
2023-07-14,7.1356,7.1455,7.119,7.1415
2023-07-13,7.1661,7.1761,7.1475,7.1485
2023-07-12,7.191,7.195,7.161,7.165
2023-07-11,7.2249,7.2304,7.1942,7.2095
2023-07-10,7.215,7.2415,7.215,7.225
2023-07-07,7.235,7.2473,7.2191,7.225
2023-07-06,7.249,7.2548,7.231,7.2489
2023-07-05,7.2101,7.252,7.2101,7.252
2023-07-04,7.228,7.2438,7.2099,7.217
2023-07-03,7.232,7.2557,7.2223,7.245
2023-06-30,7.2588,7.2699,7.2425,7.251
2023-06-29,7.232,7.2568,7.2271,7.248
2023-06-28,7.2249,7.2555,7.2213,7.239
2023-06-27,7.2276,7.2277,7.205,7.2273
2023-06-26,7.2011,7.2425,7.2011,7.2425
2023-06-23,7.1794,7.1794,7.1782,7.1792
2023-06-22,7.1799,7.1799,7.1799,7.1799
2023-06-21,7.1866,7.1979,7.174,7.174
2023-06-20,7.1666,7.1851,7.1658,7.1821
2023-06-19,7.1379,7.166,7.1342,7.162
2023-06-16,7.1321,7.1409,7.1051,7.125
2023-06-15,7.1726,7.18,7.1185,7.1225
2023-06-14,7.1635,7.1695,7.146,7.151
2023-06-13,7.1608,7.1673,7.1413,7.1659
2023-06-12,7.135,7.1495,7.1285,7.1479
2023-06-09,7.1192,7.1358,7.111,7.1285
2023-06-08,7.139,7.142,7.1109,7.112
2023-06-07,7.1045,7.14,7.1021,7.1333
2023-06-06,7.1177,7.1248,7.0992,7.118
2023-06-05,7.108,7.124,7.093,7.1009
2023-06-02,7.104,7.104,7.055,7.083
2023-06-01,7.1032,7.1243,7.0873,7.099
2023-05-31,7.0925,7.1133,7.0904,7.109
2023-05-30,7.074,7.0986,7.066,7.0788
2023-05-29,7.0604,7.0799,7.0604,7.0706
2023-05-26,7.0788,7.0795,7.0456,7.0625
2023-05-25,7.068,7.0802,7.0603,7.0782
2023-05-24,7.0675,7.0675,7.0366,7.0605
2023-05-23,7.0388,7.0579,7.0388,7.0551
2023-05-22,7.0203,7.0388,7.016,7.0308
2023-05-19,7.0581,7.0588,7.002,7.014
2023-05-18,6.9991,7.0425,6.9963,7.037
2023-05-17,6.986,7.003,6.9729,6.9944
2023-05-16,6.9537,6.9798,6.9518,6.9783
2023-05-15,6.957,6.9654,6.9461,6.952
2023-05-12,6.95,6.9599,6.9425,6.9585
2023-05-11,6.9321,6.9499,6.9305,6.9485
2023-05-10,6.924,6.935,6.913,6.9288
2023-05-09,6.9164,6.9291,6.9164,6.92
2023-05-08,6.913,6.9195,6.9095,6.9155
2023-05-05,6.905,6.9213,6.905,6.908
2023-05-04,6.903,6.9205,6.8921,6.9067
2023-05-03,6.9123,6.9123,6.9113,6.9113
2023-05-02,6.9125,6.9125,6.911,6.9113
2023-05-01,6.9122,6.9122,6.911,6.911
2023-04-28,6.915,6.9285,6.9108,6.9179
2023-04-27,6.9319,6.9325,6.9106,6.9203
2023-04-26,6.928,6.9423,6.9162,6.927
2023-04-25,6.89,6.935,6.89,6.9323
2023-04-24,6.8881,6.9062,6.8881,6.8947
2023-04-21,6.8788,6.8961,6.8761,6.893
2023-04-20,6.89,6.8962,6.87,6.874
2023-04-19,6.8751,6.901,6.8751,6.8851
2023-04-18,6.876,6.8805,6.8648,6.8766
2023-04-17,6.878,6.8825,6.8664,6.8817
2023-04-14,6.8598,6.8748,6.8318,6.872
2023-04-13,6.8721,6.8795,6.8675,6.868
2023-04-12,6.89,6.8908,6.8702,6.8721
2023-04-11,6.888,6.8925,6.8822,6.8855
2023-04-10,6.8813,6.8881,6.8718,6.8835
2023-04-07,6.8792,6.8792,6.865,6.865
2023-04-06,6.8845,6.8845,6.8701,6.8701
2023-04-05,6.88,6.88,6.878,6.878
2023-04-04,6.88,6.8865,6.8751,6.8799
2023-04-03,6.881,6.8945,6.8733,6.877
2023-03-31,6.852,6.8877,6.8437,6.8745
2023-03-30,6.8975,6.907,6.8695,6.871
2023-03-29,6.8773,6.8933,6.8751,6.8866
2023-03-28,6.8735,6.8883,6.8712,6.8755
2023-03-27,6.8741,6.8925,6.8675,6.8795
2023-03-24,6.8367,6.8844,6.8366,6.8679
