p,d,q,aic,bic
10,0,9,-6449.66007625121,-6341.69392868185
10,0,10,-6451.922195774927,-6338.814803083216
10,1,1,-6461.474023804652,-6399.788587287438
10,1,2,-6459.4045948570865,-6392.578705296772
10,1,3,-6457.376546860023,-6385.410204256607
10,1,4,-6455.594580402474,-6378.487784755956
10,1,5,-6454.039924270413,-6371.792675580795
10,1,6,-6465.511974177121,-6378.124272444402
10,1,7,-6462.796461190863,-6370.268306415042
10,1,8,-6460.690204407836,-6363.021596588914
10,1,9,-6459.579759740354,-6356.770698878331
10,1,10,-6454.160667977396,-6346.211154072272
10,2,1,-6395.202342391725,-6333.526418360147
10,2,2,-6437.795661900647,-6370.980077533103
10,2,3,-6447.69908192372,-6375.743837220211
10,2,4,-6443.331163255802,-6366.236258216328
10,2,5,-6442.234748077525,-6360.000182702086
10,2,6,-6432.076680111293,-6344.70245439989
10,2,7,-6438.58039155527,-6346.066505507901
10,2,8,-6433.269466722287,-6335.615920338953
10,2,9,-6441.11933510611,-6338.326128386811
10,2,10,-6444.535960984009,-6336.603093928746
